ID,TOTAL_TOPICS,UNIQUE_TOPICS,PAGE_SIMILARITY,PAGE_VARIANCE,BOOLEAN_PAGE_VARIANCE,ROBOT
obSnwGoBCue8G08E_WCX,242,500,2.066115702,92.25955556,0.165413652,1
nLSnwGoBCue8G08E_WCX,966,500,0.517598344,55.60349708,0.168825188,1
ErSowGoBCue8G08ECmHa,51,500,9.803921569,29.97231834,0.138155933,0
E7SowGoBCue8G08ECmHa,77,500,6.493506494,63.28798186,0.136178854,0
FbSowGoBCue8G08ECmHa,1922,500,0.260145682,50.44359582,0.179579394,1
FrSowGoBCue8G08ECmHa,7,5,0.714285714,1.111111111,0.103809057,0
F7SowGoBCue8G08ECmHa,174,500,2.873563218,42.55401662,0.165149791,0
GbSowGoBCue8G08ECmHa,50,500,10,121.5208333,0.087900945,0
HbSowGoBCue8G08ECmHa,489,500,1.022494888,51.40997373,0.160722905,0
HrSowGoBCue8G08ECmHa,20,500,25,0,0,0
H7SowGoBCue8G08ECmHa,0,0,NaN,NaN,NaN,0
ILSowGoBCue8G08ECmHa,80,500,6.25,78.7943787,0.153294974,0
JbSowGoBCue8G08ECmHa,1417,500,0.352858151,67.80079288,0.168586311,1
KrSowGoBCue8G08ECmHa,15,500,33.33333333,0,0,0
LLSowGoBCue8G08ECmHa,4,4,1,0,0,0
LbSowGoBCue8G08ECmHa,5,500,100,0,0,0
L7SowGoBCue8G08ECmHa,6,500,83.33333333,124.75,0.062749247,0
LrSowGoBCue8G08ECmHa,52,500,9.615384615,118.6265432,0.071728453,0
MLSowGoBCue8G08ECmHa,5,500,100,0,0,0
MbSowGoBCue8G08ECmHa,11,500,45.45454545,110.8888889,0.055777108,0
MrSowGoBCue8G08ECmHa,223,500,2.242152466,10.34688581,0.164481611,0
M7SowGoBCue8G08ECmHa,178,500,2.808988764,110.5554199,0.159501712,0
PrSowGoBCue8G08ECmHa,273,500,1.831501832,17.86490885,0.193443386,0
QrSowGoBCue8G08EE2Fa,1672,500,0.299043062,55.18367062,0.182314754,1
RrSowGoBCue8G08EE2Fa,135,37,0.274074074,3.113221329,0.119465497,0
